"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000001","VA0850300BWC","Woodstock","Shenandoah County","VA","Woodstock Police Department","Police","The Woodstock Police Department has used body-worn cameras since at least 2012.","Municipal","Body-worn Cameras","","VML Insurance Programs","https://www.vrsa.us/body-camera-footage-corroborates-police-accounts-in-woodstock-shooting/","","Virgina Risk Sharing Association","","12/27/2012","","","","","","","","","","",""
"AOS000008","NY0356300BWC","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburgh Police Department began a body-worn camera program in 2015 and began with 20 cameras.","Municipal","Body-worn Cameras","","WatchGuard","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/body-worn_camera_pilot_program.pdf","","Public Report","","09/03/2015","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/o-038_body-worn_camera.pdf","","Policy Document","","08/05/2016","","","","","",""
"AOS000009","OR0290400BWC","Tillamook","Tillamook County","OR","Tillamook Police Department","Police","The Tillamook Police Department's Facebook page shows officers with body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.facebook.com/tillamookpolicedepartment/photos/a.496649310478379/837121463097827/?type=3&theater","","Tillamook Police Department Facebook","","12/15/2016","","","","","","","","","","",""
"AOS000010","NC0590000BWC","Williamston","Martin County","NC","Martin County Sheriff's Office","Sheriff","In 2016, the Martin County Sheriff’s Office purchased body-worn cameras with a $15,000 grant from the governor.","County","Body-worn Cameras","","Coban","http://www.martincountyncgov.com/_fileUploads/minutes/413201642528PM.pdf","","Martin County Board of Commissioners","","04/13/2016","https://www.facebook.com/SheriffofMartinCounty/photos/a.560147534038931/1480950511958624/?type=3&theater","","Martin County Sheriff's Facebook","","09/17/2017","","","","","",""
"AOS000011","GA0560200BWC","Peachtree City","Fayette County","GA","Peachtree City Police Department","Police","As of June 2018, all officers in the Peachtree City Police Department use body-worn cameras.","Municipal","Body-worn Cameras","","","https://thecitizen.com/2018/06/04/police-body-cameras-now-common-use-fayetteville-peachtree-city-tyrone/","","The Citizen","","06/04/2018","","","","","","","","","","",""
"AOS000012","NM0160000BWC","Deming","Luna County","NM","Luna County Sheriff's Department","Sheriff","The Luna County Sheriff's Department began using Axon body-worn cameras in 2014.","County","Body-worn Cameras","","Axon","https://investor.axon.com/press-releases/press-release-details/2014/CORRECTION---TASER-International/default.aspx","","Axon","","09/15/2014","","","","","","","","","","",""
"AOS000013","CO0190100BWC","Vail","Eagle County","CO","Vail Police Department","Police","As of 2016, all Vail Police Department officers are equipped with Coban body-worn cameras.","Municipal","Body-worn Cameras","","Coban","http://www.vailgov.com/Portals/0/docs/Police/VPD%20BWC%20policy.pdf","","Vail Police Department","","","https://www.vailgov.com/Portals/0/docs/Police/annual-reports/VPD-Annual-Report-2016.pdf","","Vail Police Department","","2016","","","","","",""
"AOS000014","TX2210000BWC","Abilene","Taylor County","TX","Taylor County Sheriff's Office","Sheriff","In April 2016, the Taylor County Sheriff's Office purchased Coban body-worn cameras with matching funds from the state Criminal Justice Division.","County","Body-worn Cameras","","Coban","https://ktxs.com/news/abilene/body-cameras-approved-for-taylor-county-sheriffs-office","","KTXS-TV","","04/05/2016","http://taylorcountytexas.org/AgendaCenter/ViewFile/Agenda/04052016-123?html=true","","Taylor County Commissioner's Court","","04/05/2016","http://archive.reporternews.com/news/local/taylor-county-commissioners-court-approves-purchase-of-body-worn-cameras-2fc0e096-6621-2b28-e053-010-374632471.html/","","Abeline Reporter News","","04/05/2016",""
"AOS000015","FL0420100BWC","Ocala","Marion County","FL","Ocala Police Department","Police","In September 2014, the Oscala Police Department received $130,775 to purchase 130 body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.usatoday.com/story/news/2014/09/18/ocala-police-body-cameras/15862567/","","Associated Press","","09/18/2014","https://www.facebook.com/watch/?v=654330455017199","","Facebook: Ocala Police Department","","09/05/2018","","","","","",""
"AOS000016","ND0180800BWC","Grand Forks","Grand Forks County","ND","University of North Dakota Police Department","Police","The University of North Dakota Police Department began using body-worn cameras in 2014.","University","Body-worn Cameras","","","https://www.prairiebusinessmagazine.com/news/education/3971414-cameras-new-officers-among-measures-bolster-und-security","","Prairie Business Magazine","","08/26/2014","","","","","","","","","","",""
"AOS000018","NM0261200BWC","Edgewood","Santa Fe County","NM","Edgewood Police Department","Police","The Town of Edgewood spent $7,510 on Coban-brand body-worn cameras in March 2016.","Municipal","Body-worn Cameras","","Coban","https://www.facebook.com/edgewoodpolicedepartmentnm/photos/a.961972543924308/2615310265257186/?type=3&theater","","Facebook","","12/12/2019","https://www.edgewood-nm.gov/document_center/Agendas%20Council/2016/04202016.pdf","","Town of Edgewood public meeting agenda","","4/20/2016","","","","","",""
"AOS000019","TX1230000BWC","Beaumont","Jefferson County","TX","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://co.jefferson.tx.us/agenda/agendas_pl/20160711_346/Attachments/RESOLUTION%20FOR%20BODY%20WORN%20CAMERA%20GRANT.pdf","","Jefferson County Commissioner's Court","","2016","https://www.facebook.com/jcso.beaumont/photos/a.1145453048802759/2832732920074755/?type=3&theater","","Facebook","","07/19/2019","https://www.wbrc.com/story/37999426/jefferson-county-sheriff-announces-iris-detecting-technology-as-a-way-to-track-sex-offenders/","","www.wbrc.com","","",""
"AOS000021","AL0470200BWC","Madison","Madison County","AL","Madison Police Department","Police","The Madison Police Department purchased 63 Coban body-worn cameras in 2018.","Municipal","Body-worn Cameras","","Coban","https://whnt.com/2018/04/25/madison-police-to-get-body-worn-cameras-and-phase-them-in-this-year/","","WHNT News","","04/25/2018","https://www.waaytv.com/content/news/Madison-Police-Department-to-get-body-worn-cameras--480635881.html","","WAAY 31","","04/23/2018","","","","","",""
"AOS000022","NC0740300BWC","Greenville","Pitt County","NC","Greenville Police Department","Police","The Greenville Police Department implemented body-worn cameras in 2017, starting with 200 Coban-brand cameras.","Municipal","Body-worn Cameras","","Coban","https://web.archive.org/web/20170624104403/https://www.reflector.com/news/2017/05/26/greenville-police-rolling-out-body-cameras.html","","The Daily Reflector","","05/26/2017","https://www.greenvilleonline.com/story/news/crime/2018/06/26/greenville-police-phase-out-dashcams-rely-body-cameras/714662002/","","Greenville News (part of USA Today)","","06/26/2018","","","","","",""
"AOS000023","TX1520600BWC","Lubbock","Lubbock County","TX","Texas Tech Police Department","Police","The Texas Tech Police Department has been uses Coban body-worn cameras.","University","Body-worn Cameras","","Coban","https://www.facebook.com/TTAA/photos/pcb.10155445970627131/10155445968027131/?type=3&theater","","Facebook","","09/10/2018","https://www.kcbd.com/story/36556988/texas-tech-police-officer-shot-killed-on-campus-suspect-in-custody/","","KCBD News","","09/10/2017","","","","","",""
"AOS000027","OH0480200BWC","Oregon","Lucas County","OH","Oregon Police Division","Police","The Oregon Police Division began using body-worn cameras in 2016.","Municipal","Body-worn Cameras","","Coban","https://www.oregonohio.org/images/stories/docs/citycouncil/minutes/2016/M20160606%20C.pdf","","City of Oregon, Ohio","","06/06/2016","https://www.facebook.com/OregonOhioPolice/photos/a.621037904603345/3189138407793269/?type=3&theater","","Facebook page for the police department","","08/14/2019","","","","","",""
"AOS000029","KY1140100BWC","Bowling Green","Warren County","KY","Bowling Green Police Department","Police","The Bowling Green Police Department purchased 95 Coban body-worn Cameras in 2016.","Municipal","Body-worn Cameras","","Coban","https://www.bgdailynews.com/news/bgpd-officers-to-have-body-cams-by-the-end-of/article_85d591d1-1a6d-50c8-b7cb-57b5b2109c5a.html","","Bowling Green Daily News organization","","05/19/2016","https://www.wbko.com/content/news/The-view-from-a-police-body-cam-and-the-story-it-tells-446281113.html","","WBKO Local News","","09/20/2017","","","","","",""
"AOS000034","TX1780200BWC","Corpus Christi","Nueces County","TX","Corpus Christi Police Department","Police","The Corpus Christi Police Department has 178 body-worn cameras as of May 2019.","Municipal","Body-worn Cameras","","","https://www.caller.com/story/news/crime/2019/05/02/corpus-christi-police-officials-no-body-cam-torreon-shooting/3655170002/","","Caller Times","","05/02/2019","https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html","","U.S Department of Justice","","2015","","","","","",""
