Ref,Grant Recipient,State,Federal Award FY 2015,Federal Award FY 2016,Federal Award FY 2017 ,Federal Award FY 2018,Federal Award FY 2019 ,Total,BJA Link 1,BJA Link 2,BJA Link 3
BJA340,Aiken,SC,,47125,,,,47125,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA288,"Akron, City of",OH,367478,,,,,367478,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA022,Alabama Department of Corrections,AL,,,,,300000,300000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0023,,
BJA270,"Albany, City of",NY,133305,,,,,133305,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA262,Albuquerque Police Department,NM,250000,,,,,250000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA310,"Allentown, City of",PA,249901,,,,,249901,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA370,American Fork,UT,,,28365,,,28365,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA021,"Andalusia, City of",AL,87224,,,,,87224,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA094,Apopka Police Department,FL,43000,,,,,43000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA029,Arkansas Tech University,AR,,17656,,,,17656,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA127,Atlanta Independent School System,GA,,,249608,,,249608,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA360,Austin,TX,,750000,,,,750000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA289,Austintown Township of,OH,,,,,30000,30000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0015,,
BJA326,Autonomous Municipality of Caguas,PR,,,,,99876,99876,https://bja.ojp.gov/funding/awards/2019-bc-bx-0076,,
BJA191,Baton Rouge,LA,,,749992,,,749992,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA312,Beaver County Sheriff's Office,PA,,,,36750,,36750,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA008,"Beaverton, City of",OR,150000,,,,,150000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA378,Bedford County,VA,,10335,,,,10335,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA049,Bell Police Department,CA,,,,52500,,52500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA341,Berkeley County,SC,,150000,,,,150000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA313,Bethlehem,PA,,,89428,,,89428,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA361,Bexar County,TX,,,,,765416,765416,https://bja.ojp.gov/funding/awards/2019-bc-bx-0052,,
BJA023,Birmingham,AL,,300000,,,,300000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA401,Birmingham Police Department,AL,,,,,276000,276000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0066,,
BJA239,Black Mountain,NC,,,11000,,,11000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA379,Blacksburg,VA,,,44906,,,44906,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA272,Blooming Grove,NY,,,20722,,,20722,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA216,Bloomington,MN,,,199500,,,199500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA179,Bonner Springs,KS,,,22720,,,22720,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA017,Brick,NJ,,112500,,,85000,197500,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA217,Brooklyn Park,MN,,50038,,,,50038,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA098,Broward,FL,,999564,,,,999564,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA128,Burke County,GA,,,33971,,,33971,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA001,Camden County,NJ,,118500,257305,,,375805,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,
BJA237,Canton,MS,,,25000,,,25000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA290,"Canton, City of",OH,,,,,58756,58756,https://bja.ojp.gov/funding/awards/2019-bc-bx-0012,,
BJA228,Cape Girardeau,MO,,,27000,,,27000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA307,"Carlisle, Borough of",PA,43500,,,,,43500,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA172,Carmel,IN,,86512,,,,86512,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA240,Carrboro,NC,,,46731,,,46731,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA149,Cedar Rapids,IA,,96800,,,,96800,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA308,Central Bucks Regional PD,PA,52805,,,,,52805,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA337,"Charleston, City of",SC,25264,,,,,25264,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA349,Chattanooga,TN,,299992,,,,299992,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA255,Cherry Hill Police Department,NJ,82525,,,,,82525,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA159,Chicago,IL,1000000,,572681,639370,,2212051,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html
BJA291,Cincinnati,OH,,600000,,,,600000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA078,City and County of Denver,CO,,130606,,,,130606,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA147,City and County of Honolulu,HI,,,41870,,,41870,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA314,City of Allentown,PA,,,,150000,,150000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA129,City of Atlanta,GA,,,,,2000000,2000000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0039,,
BJA079,City of Aurora,CO,,,,,852580,852580,https://bja.ojp.gov/funding/awards/2019-bc-bx-0044,,
BJA362,City of Balcones Heights,TX,,,,32530,,32530,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA292,"City of Brook Park, Ohio",OH,,,,,69353,69353,https://bja.ojp.gov/funding/awards/2019-bc-bx-0004,,
BJA293,City of Brunswick,OH,,,,,50000,50000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0061,,
BJA218,City of Champlin,MN,,,,45000,,45000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA350,City of Clarksville,TN,,,,114130,,114130,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA351,City of Cookeville,TN,,,,,120000,120000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0071,,
BJA099,City of Coral Springs,FL,,,,,300000,300000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0013,,
BJA192,City of Denham Springs,LA,,,,27420,,27420,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA150,City of Des Moines,IA,,,,87502,,87502,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA080,City of Durango,CO,,,,60000,,60000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA219,City of Edina,MN,,,,,110000,110000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0003,,
BJA315,"City of Erie, PA",PA,,,,,247500,247500,https://bja.ojp.gov/funding/awards/2019-bc-bx-0009,,
BJA263,City of Espanola,NM,,,,90000,,90000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA173,City of Fishers,IN,,,,120000,,120000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA100,City of Fort Myers,FL,,,,37500,,37500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA030,"City of Fort Smith, Arkansas Police Department",AR,,,,,29014,29014,https://bja.ojp.gov/funding/awards/2019-bc-bx-0081,,
BJA185,City of Frankfort,KY,,,,,47750,47750,https://bja.ojp.gov/funding/awards/2019-bc-bx-0049,,
BJA050,City of Fresno,CA,,,,,90000,90000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0053,,
BJA002,City of Garfield,NJ,,,,,66780,66780,https://bja.ojp.gov/funding/awards/2019-bc-bx-0017,,
BJA249,City of Gordon Office of Comptroller,NE,,,,,6684,6684,https://bja.ojp.gov/funding/awards/2019-bc-bx-0083,,
BJA051,City of Gustine,CA,,,,54000,,54000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA101,City of Hallandale Beach,FL,,,,141984,,141984,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA130,City of Hazlehurst,GA,,,,,26000,26000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0050,,
BJA131,City of Hinesville,GA,,,,,18000,18000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0032,,
BJA273,City of Hudson,NY,,,10062,,,10062,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA156,City of Idaho Falls,ID,,,,135000,,135000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA201,City of Inkster,MI,,,,97500,,97500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA031,City of Jonesboro,AR,,,,300000,,300000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA220,City of Lakeville,MN,,,,106500,,106500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA195,City of Lawrence,MA,,,,112835,,112835,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA032,City of Little Rock Police Department,AR,,,,,194000,194000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0078,,
BJA003,City of Long Branch,NJ,,,,,52500,52500,https://bja.ojp.gov/funding/awards/2019-bc-bx-0005,,
BJA174,"City of Marion, Indiana Police Department",IN,,,,,130000,130000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0067,,
BJA160,City of Markham,IL,,,,,70000,70000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0028,,
BJA301,City of McAlester,OK,,,,,46733,46733,https://bja.ojp.gov/funding/awards/2019-bc-bx-0025,,
BJA202,City of Midland,MI,,,,110641,,110641,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA352,City Of Millington,TN,,,,,50000,50000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0002,,
BJA221,City of Minneapolis,MN,,,,430500,,430500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA102,City of Miramar,FL,,,,,97060,97060,https://bja.ojp.gov/funding/awards/2019-bc-bx-0033,,
BJA161,City of Moline,IL,,,,21356,,21356,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA233,City of Moss Point,MS,,,,52500,,52500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA193,City of New Roads,LA,,,,18000,,18000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA091,City of Newark,DE,,,,90000,,90000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA335,City of Newport,RI,,,,15000,,15000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA274,City of Olean Police department,NY,,,,,56000,56000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0035,,
BJA388,City of Pasco,WA,,,,140225,,140225,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA004,City of Pleasantville,NJ,,,,,78926,78926,https://bja.ojp.gov/funding/awards/2019-bc-bx-0042,,
BJA103,City of Punta Gorda,FL,,,,,67019,67019,https://bja.ojp.gov/funding/awards/2019-bc-bx-0030,,
BJA316,City of Reading,PA,,,,187500,,187500,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA052,City of Santa Ana,CA,,,,99291,,99291,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA053,City of Santa Rosa,CA,,,,41023,,41023,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA033,City of Sherwood,AR,,,,,48000,48000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0073,,
BJA347,City of Sisseton,SD,,,,,26000,26000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0037,,
BJA196,City of Springfield,MA,,,,,1122000,1122000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0048,,
BJA275,city of Syracuse,NY,,,,,100000,100000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0056,,
BJA276,City of Syracuse,NY,,,,299472,,299472,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA104,City of Tampa,FL,,,,,585156,585156,https://bja.ojp.gov/funding/awards/2019-bc-bx-0060,,
BJA081,City of Thornton,CO,,,,153180,,153180,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA222,City of West Saint Paul,MN,,,,,64000,64000,https://bja.ojp.gov/funding/awards/2019-bc-bx-0008,,
BJA040,City of Yuma,AZ,,104988,,115500,,220488,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,
BJA353,Clarksville,TN,,,337500,,,337500,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA054,Coalinga,CA,,4000,,,,4000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA105,Cocoa,FL,,,18000,,,18000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA398,Cody,WY,,,50000,,,50000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA106,Collier County Sheriff's Office,FL,,,,568000,,568000,https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html,,
BJA317,Colonial Regional PD,PA,,7723,,,,7723,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
BJA077,"Colorado Springs, City of",CO,600000,,,,,600000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA194,Concordia Parish Sheriff''s Office,LA,,,,,34649,34649,https://bja.ojp.gov/funding/awards/2019-bc-bx-0045,,
BJA363,"Copperas Cove, City of",TX,,,,,26078,26078,https://bja.ojp.gov/funding/awards/2019-bc-bx-0057,,
BJA107,Coral Springs,FL,,,225000,,,225000,https://www.documentcloud.org/documents/6573653-2017-BWCPIP-Awards.html,,
BJA358,"Corpus Christi, City of",TX,125000,,,,,125000,https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html,,
BJA055,County of Alameda,CA,,1000000,,,,1000000,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,,
